"","Loss","Attack","Variable","Correlation","p-value"
"1","ce","MLLeakAcc","AccDiff","0.8620532912844","4.9230920095993e-84"
"2","ce","MLLeakAcc","NumParams","0.294601557459831","5.18305956149086e-07"
"3","ce","MLLeakAcc","CentroidDistance.origin.","-0.0968518017098747","0.105836258841047"
"4","ce","MLLeakLAcc","AccDiff","0.84141213211823","2.80152428469573e-76"
"5","ce","MLLeakLAcc","NumParams","0.312554733014258","9.24088614943514e-08"
"6","ce","MLLeakLAcc","CentroidDistance.origin.","-0.136911945039235","0.0219329212893795"
"7","ce","Top3MLLeakLAcc","AccDiff","0.840937079520104","4.09846674566778e-76"
"8","ce","Top3MLLeakLAcc","NumParams","0.29024587930131","7.74025900581246e-07"
"9","ce","Top3MLLeakLAcc","CentroidDistance.sorted_3.","0.822764798703861","3.57700779190551e-70"
"10","ce","Top3MLLeakAcc","AccDiff","0.859548413247596","4.99523113965995e-83"
"11","ce","Top3MLLeakAcc","NumParams","0.292788293597528","6.12977489950115e-07"
"12","ce","Top3MLLeakAcc","CentroidDistance.sorted_3.","0.817472240828911","1.43558847571468e-68"
"13","ce","Oak17Acc","AccDiff","0.969445900059436","1.07494876225076e-171"
"14","ce","Oak17Acc","TrainVar","-0.259093526179597","1.12682636984536e-05"
"15","ce","Oak17Acc","TestVar","0.569126933203973","1.95961266094106e-25"
"16","ce","Oak17Acc","NumParams","0.362902592259088","3.84830828059778e-10"
"17","ce","ThresholdAcc","LossDiff","0.772951891221726","7.23766571933885e-57"
"18","mse","MLLeakAcc","AccDiff","0.867493283664763","8.89259366080736e-50"
"19","mse","MLLeakAcc","NumParams","-0.0320365975916095","0.687565986649203"
"20","mse","MLLeakAcc","CentroidDistance.origin.","-0.328048023314898","2.28783504058787e-05"
"21","mse","MLLeakLAcc","AccDiff","0.937090405767059","4.1043287110271e-74"
"22","mse","MLLeakLAcc","NumParams","-0.0571620837366563","0.47277724859903"
"23","mse","MLLeakLAcc","CentroidDistance.origin.","-0.324756683042184","2.79187409636881e-05"
"24","mse","Top3MLLeakLAcc","AccDiff","0.900001345386893","7.3814886966774e-59"
"25","mse","Top3MLLeakLAcc","NumParams","-0.0823198674572725","0.300731328690612"
"26","mse","Top3MLLeakLAcc","CentroidDistance.sorted_3.","-0.288710235789379","0.000213524860085172"
"27","mse","Top3MLLeakAcc","AccDiff","0.904131497826215","3.11563185968248e-60"
"28","mse","Top3MLLeakAcc","NumParams","-0.0787948279022068","0.321973460031663"
"29","mse","Top3MLLeakAcc","CentroidDistance.sorted_3.","-0.304256902879843","9.17052476247117e-05"
"30","mse","Oak17Acc","AccDiff","0.962620910747371","1.54881757617535e-91"
"31","mse","Oak17Acc","TrainVar","0.36550506049574","2.00868030311756e-06"
"32","mse","Oak17Acc","TestVar","0.638705976712989","1.02176683544582e-19"
"33","mse","Oak17Acc","NumParams","-0.0927192618807411","0.24356013069339"
"34","mse","ThresholdAcc","LossDiff","0.977757075522798","4.33900815188856e-109"
