"","DK?","Loss","Attack","Predcor","MSE"
"1","TRUE","ce","MLLeakAcc","0.908311471072977","0.00254596142658712"
"2","TRUE","ce","MLLeakLAcc","0.948604249998741","0.00205108195453581"
"3","TRUE","ce","Top3MLLeakLAcc","0.957931894300114","0.00157527752180807"
"4","TRUE","ce","Top3MLLeakAcc","0.964586834593666","0.00116106124683852"
"5","TRUE","ce","Oak17Acc","0.976238011483658","0.000918484601243661"
"6","TRUE","ce","ThresholdAcc","0.942552229330074","0.001772480715149"
"7","TRUE","mse","MLLeakAcc","0.903395873717372","9.55532835051276e-05"
"8","TRUE","mse","MLLeakLAcc","0.969449711905025","6.72914314063625e-05"
"9","TRUE","mse","Top3MLLeakLAcc","0.936196620381004","9.50637415174616e-05"
"10","TRUE","mse","Top3MLLeakAcc","0.921609641894861","0.000133935186284022"
"11","TRUE","mse","Oak17Acc","0.968961978460561","0.000161348667193164"
"12","TRUE","mse","ThresholdAcc","0.988016559673316","2.4154553302999e-05"
